Nome,Depth,i,seed,Melhor_solucao,Melhor_solucao_shrunk,Melhor_fitness,Nossa_fitness,Numero_de_comparacoes,Tempo_avaliacao,Tempo_para_encontrar_melhor_solucao,Tempo_total,Timed_out
warmup,5,1,2967301147,f.o,f.o,21,42,74305,0,4315,26766,false
abba,5,1,2967301147,[f-t][t-z],[f-t][t-z],12,34,128063,0,14512,20645,false
abba,5,1,5600405384,[b-t][tuvhz],[b-t][h-z],16,38,25949,0,2420,14130,false
abba,5,2,1632819610,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11653,false
warmup,5,1,5600405384,foo,foo,21,42,159618,0,12937,35709,false
abba,5,3,1412034944,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7877,false
abba,5,4,9724161943,[b-t][tuv],[b-t][tuv],13,35,68480,0,5047,11662,false
warmup,5,2,1632819610,foo,foo,21,42,3290,0,814,17423,false
abba,5,5,4037724866,[m-p][hi][b-z],[m-p][hi][b-z],11,33,6058,0,1123,13677,false
abba,5,6,8370032799,[b-t][tuvhz],[b-t][h-z],16,38,107925,0,7240,12353,false
abba,5,7,2767986875,[^otna][tuz],[^a-t][t-z],17,39,63094,0,4879,16475,false
warmup,5,3,1412034944,foo,foo,21,42,98041,0,5332,46032,false
abba,5,8,3141506592,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7425,false
abba,5,9,3313543896,[b-t][tuv],[b-t][tuv],13,35,22459,0,2145,18469,false
abba,5,10,8657690939,[b-t][tuvhz],[b-t][h-z],16,38,92786,0,6619,16124,false
warmup,5,4,9724161943,foo,foo,21,42,139217,0,26138,47163,false
abba,5,11,9696640194,[u-z][f-t],[u-z][f-t],11,33,2727,0,802,8194,false
abba,5,12,6621545651,^p|[b-t][tuv],{0}^p|[b-t][tuv],14,36,189281,0,42594,45749,false
abba,5,13,2492462788,[u-z][f-t],[u-z][f-t],11,33,3677,0,846,14358,false
abba,5,14,3404588599,.[tu],.[tu],11,33,4314,0,870,13410,false
abba,5,15,2330977742,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7019,false
abba,5,16,6361187489,[b-t][tuv],[b-t][tuv],13,35,3842,0,846,13520,false
abba,5,17,2805026820,[u-z][f-t],[u-z][f-t],11,33,3676,0,866,7673,false
abba,5,18,4323456912,[p-z][d-h],[p-z][d-h],13,35,4352,0,909,15248,false
warmup,5,5,4037724866,foo,foo,21,42,129868,0,8046,163169,true
warmup,5,6,8370032799,foo,foo,21,42,38061,0,15313,30332,false
warmup,5,7,2767986875,f.o,f.o,21,42,58830,0,3606,243535,true
warmup,5,8,3141506592,foo,foo,21,42,114728,0,6530,16954,false
abba,5,19,8361101999,N/A,N/A,N/A,N/A,N/A,N/A,N/A,373948,true
abba,5,20,9935136846,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7286,false
warmup,5,9,3313543896,f.o,f.o,21,42,130853,0,29506,57869,false
abba,5,21,5217407358,[b-t][tuv],[b-t][tuv],13,35,29662,0,2440,12018,false
warmup,5,10,8657690939,foo,foo,21,42,37631,0,3338,18479,false
abba,5,22,5619256299,.[tu]|z,.[tu]|z,13,35,77515,0,17913,23674,false
abba,5,23,4560422870,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7722,false
abba,5,24,5236888092,[b-t][tuv],[b-t][tuv],13,35,20594,0,1898,8630,false
warmup,5,11,9696640194,foo,foo,21,42,97855,0,17504,30440,false
abba,5,25,1337360711,.[u-z][d-z],.[u-z][d-z],12,34,20135,0,2247,10727,false
warmup,5,12,6621545651,foo,foo,21,42,166105,0,15282,133839,true
warmup,5,13,2492462788,foo,foo,21,42,120600,0,19230,40959,false
warmup,5,14,3404588599,foo,foo,21,42,104957,0,12507,23501,false
warmup,5,15,2330977742,foo,foo,21,42,164334,0,53927,61630,true
warmup,5,16,6361187489,foo,foo,21,42,90196,0,5870,30832,false
warmup,5,17,2805026820,foo,foo,21,42,3749,0,851,16844,false
abba,5,26,7659837985,[b-t][tuv],[b-t][tuv],13,35,7831,0,1157,322513,true
warmup,5,18,4323456912,foo,foo,21,42,78127,0,16279,27736,false
abba,5,27,2521100877,[^taon][tuz],[^a-t][t-z],17,39,110641,0,8121,15349,false
abba,5,28,8801535107,[u-z][f-t],[u-z][f-t],11,33,3676,0,958,7939,false
abba,5,29,9651599436,[u-z][f-t],[u-z][f-t],11,33,6042,0,1137,8804,false
aman-aplan,5,1,2967301147,^[h-t][a-o],^[h-t][a-o],10,31,7574,0,1094,10634,false
aman-aplan,5,1,5600405384,[cd]$,[cd]$,3,24,3294,0,824,15897,false
aman-aplan,5,2,1632819610,u^|[cd]$,u^|[cd]$,3,24,4414,0,942,17375,false
warmup,5,19,8361101999,foo,foo,21,42,152178,0,9038,99481,true
warmup,5,20,9935136846,foo,foo,21,42,191386,0,11338,17914,false
aman-aplan,5,3,1412034944,[a-l][b-x].[^yen]\b,[a-l][b-x].[^e-y]\b,14,35,66508,0,5216,64098,true
warmup,5,21,5217407358,foo,foo,21,42,214664,0,13390,17638,false
aman-aplan,5,4,9724161943,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10036,false
aman-aplan,5,5,4037724866,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10241,false
warmup,5,22,5619256299,foo,foo,21,42,216522,0,26914,36971,false
aman-aplan,5,6,8370032799,[rs][de],[rs][de],5,26,4174,0,1020,18872,false
aman-aplan,5,7,2767986875,^[h-t][a-o],^[h-t][a-o],10,31,22823,0,2309,21266,false
aman-aplan,5,8,3141506592,^[h-t][a-o],^[h-t][a-o],10,31,13484,0,1752,14601,false
warmup,5,23,4560422870,f.o,f.o,21,42,139597,0,31364,42951,false
aman-aplan,5,9,3313543896,[rs][de],[rs][de],5,26,3592,0,1095,17402,false
warmup,5,24,5236888092,foo,foo,21,42,4157,0,1126,15349,false
aman-aplan,5,10,8657690939,[k-x][a-o].$,[k-x][a-o].$,13,34,16898,0,2168,13174,false
aman-aplan,5,11,9696640194,^[h-t][a-o],^[h-t][a-o],10,31,41320,0,2966,11213,false
aman-aplan,5,12,6621545651,^[h-t][a-o],^[h-t][a-o],10,31,21715,0,5617,21135,false
warmup,5,25,1337360711,foo,foo,21,42,177813,0,65379,72666,true
warmup,5,26,7659837985,foo,foo,21,42,147867,0,12334,32417,false
warmup,5,27,2521100877,foo,foo,21,42,163634,0,11452,22163,false
aman-aplan,5,13,2492462788,^[h-t][a-o],^[h-t][a-o],10,31,7880,0,1290,350562,true
warmup,5,28,8801535107,foo,foo,21,42,66276,0,21122,276830,true
aman-aplan,5,14,3404588599,[kl][k-o][a-o],[kl][k-o][a-o],4,25,4853,0,1074,15113,false
warmup,5,29,9651599436,foo,foo,21,42,154792,0,38707,47778,false
anchors,5,1,2967301147,k$,k$,21,42,2151,0,775,10858,false
anchors,5,1,5600405384,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23479,false
anchors,5,2,1632819610,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10527,false
anchors,5,3,1412034944,[st][d-l][b-r],[st][d-l][b-r],9,30,22016,0,9966,19137,false
anchors,5,4,9724161943,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10226,false
anchors,5,5,4037724866,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9444,false
anchors,5,6,8370032799,^uR|k$,^uR|k$,21,42,3194,0,873,10999,false
anchors,5,7,2767986875,[st][d-l][b-r],[st][d-l][b-r],9,30,11626,0,1602,15930,false
anchors,5,8,3141506592,^.[M-e],^.[M-e],9,30,10561,0,1627,12167,false
anchors,5,9,3313543896,c[kl]$,c[kl]$,21,42,15115,0,2027,12211,false
anchors,5,10,8657690939,[ijk]$,[ijk]$,21,42,7654,0,1320,11851,false
anchors,5,11,9696640194,g^|[ijk]$,g^|[ijk]$,21,42,20777,0,2357,12091,false
anchors,5,12,6621545651,k$,k$,21,42,6888,0,1344,26194,false
anchors,5,13,2492462788,k$,k$,21,42,18212,0,2298,29647,false
anchors,5,14,3404588599,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11235,false
anchors,5,15,2330977742,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10985,false
anchors,5,16,6361187489,[M-e][ab],[M-e][ab],5,26,1765,0,770,11848,false
anchors,5,17,2805026820,[st][d-l][b-r],[st][d-l][b-r],9,30,11624,0,1661,17171,false
aman-aplan,5,15,2330977742,a[h-k],a[h-k],2,23,281,0,58,339335,true
anchors,5,18,4323456912,[st][d-l][b-r],[st][d-l][b-r],9,30,21538,0,2524,12218,false
anchors,5,19,8361101999,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11487,false
anchors,5,20,9935136846,k$,k$,21,42,5,0,26,13121,false
anchors,5,21,5217407358,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11503,false
anchors,5,22,5619256299,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11163,false
anchors,5,23,4560422870,[st][d-l][b-r],[st][d-l][b-r],9,30,12140,0,1738,11749,false
anchors,5,24,5236888092,[st][d-l][b-r],[st][d-l][b-r],9,30,12669,0,1828,16486,false
anchors,5,25,1337360711,k$,k$,21,42,12619,0,1932,16232,false
anchors,5,26,7659837985,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10855,false
anchors,5,27,2521100877,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11113,false
anchors,5,28,8801535107,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11298,false
anchors,5,29,9651599436,[ijk]\b,[ijk]\b,21,42,39080,0,4055,13747,false
aman-aplan,5,16,6361187489,^[h-t][a-o],^[h-t][a-o],10,31,49590,0,20440,299769,true
aman-aplan,5,17,2805026820,[cd]$,[cd]$,3,24,4158,0,1136,18637,false
aman-aplan,5,18,4323456912,^[h-t][a-o],^[h-t][a-o],10,31,74615,0,6684,19580,false
aman-aplan,5,19,8361101999,^[h-t][a-o],^[h-t][a-o],10,31,27356,0,2607,12474,false
aman-aplan,5,20,9935136846,^[h-t][a-o],^[h-t][a-o],10,31,6138,0,1194,18270,false
aman-aplan,5,21,5217407358,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11225,false
ranges,5,1,2967301147,[a-f].[a-f]{2},[a-f].[a-f]{2},21,42,18870,0,3296,336641,true
aman-aplan,5,22,5619256299,^[h-t][a-o],^[h-t][a-o],10,31,10619,0,1689,332442,true
aman-aplan,5,23,4560422870,[cd]$,[cd]$,3,24,4586,0,932,15559,false
aman-aplan,5,24,5236888092,[rs][de],[rs][de],5,26,4904,0,1000,15469,false
aman-aplan,5,25,1337360711,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9653,false
aman-aplan,5,26,7659837985,[d-i][bcd],[d-i][bcd],4,25,2372,0,691,10493,false
aman-aplan,5,27,2521100877,^[h-t][a-o],^[h-t][a-o],10,31,7880,0,1134,10695,false
aman-aplan,5,28,8801535107,^[h-t][a-o],^[h-t][a-o],10,31,7880,0,1139,10857,false
ranges,5,1,5600405384,\b[a-f]+$,\b[a-f]+$,21,42,10716,0,2072,347869,true
ranges,5,2,1632819610,d,d,13,34,457,0,535,27576,false
ranges,5,3,1412034944,.*[a-e][^ic][b-f],.*[a-e][^c-i][b-f],21,42,13165,1,6658,43054,false
ranges,5,4,9724161943,[a-e][^ci][b-f],[a-e][^c-i][b-f],21,42,7823,0,3222,32133,false
aman-aplan,5,29,9651599436,N/A,N/A,N/A,N/A,N/A,N/A,N/A,394558,true
prime,5,1,2967301147,^x?xx$,^x?xx$,2,23,186,0,513,85333,true
ranges,5,5,4037724866,^[a-f].[^r][a-f],^[a-f].[^r][a-f],21,42,33151,0,7544,364899,true
prime,5,1,5600405384,^x?xx$,^x?xx$,2,23,51249,0,14987,79985,true
