Nome,Depth,i,seed,Melhor_solucao,Melhor_solucao_shrunk,Melhor_fitness,Matches_on_left,Matches_on_right,Numero_de_comparacoes,Numero_total_de_comparacoes,Tempo_para_encontrar_melhor_solucao,Tempo_total,Timed_out
warmup,5,1,2967301147,foo,foo,21,21,0,830,125032,0,120,true
warmup,5,1,5600405384,foo,foo,21,21,0,9476,500000,0,15,false
warmup,5,2,1632819610,foo,foo,21,21,0,1033,121796,0,120,true
warmup,5,3,1412034944,foo,foo,21,21,0,4998,112783,0,120,true
warmup,5,4,9724161943,foo,foo,21,21,0,360,500000,0,21,false
warmup,5,5,4037724866,foo,foo,21,21,0,5940,111548,0,120,true
warmup,5,6,8370032799,foo,foo,21,21,0,13334,122321,1,120,true
warmup,5,7,2767986875,foo,foo,21,21,0,356,500000,0,21,false
warmup,5,8,3141506592,foo,foo,21,21,0,8336,123532,1,120,true
warmup,5,9,3313543896,foo,foo,21,21,0,1052,500000,0,11,false
warmup,5,10,8657690939,foo,foo,21,21,0,2365,134551,0,120,true
warmup,5,11,9696640194,foo,foo,21,21,0,7529,500000,0,11,false
warmup,5,12,6621545651,foo,foo,21,21,0,6296,500000,0,14,false
warmup,5,13,2492462788,foo,foo,21,21,0,11344,141891,0,120,true
warmup,5,14,3404588599,foo,foo,21,21,0,488,136359,0,120,true
warmup,5,15,2330977742,foo,foo,21,21,0,3865,135102,0,120,true
warmup,5,16,6361187489,foo,foo,21,21,0,9188,143197,0,120,true
warmup,5,17,2805026820,$a,$a,0,0,0,127365,127828,119,120,true
warmup,5,18,4323456912,foo,foo,21,21,0,1040,131373,0,120,true
warmup,5,19,8361101999,foo,foo,21,21,0,17693,149994,1,120,true
warmup,5,20,9935136846,foo,foo,21,21,0,1364,122222,0,120,true
warmup,5,21,5217407358,foo,foo,21,21,0,6899,139848,0,120,true
warmup,5,22,5619256299,foo,foo,21,21,0,1543,132547,0,120,true
warmup,5,23,4560422870,foo,foo,21,21,0,1083,132064,0,120,true
warmup,5,24,5236888092,foo,foo,21,21,0,33171,170800,1,120,true
warmup,5,25,1337360711,foo,foo,21,21,0,8244,137536,0,120,true
warmup,5,26,7659837985,foo,foo,21,21,0,581,500000,0,14,false
warmup,5,27,2521100877,foo,foo,21,21,0,8641,140564,0,120,true
warmup,5,28,8801535107,foo,foo,21,21,0,469,131231,0,120,true
warmup,5,29,9651599436,foo,foo,21,21,0,1015,133778,0,120,true
anchors,5,1,2967301147,sic,sic,4,4,0,948,500000,0,13,false
anchors,5,1,5600405384,ea,ea,2,2,0,653,500000,0,12,false
anchors,5,2,1632819610,k$,k$,21,21,0,2158,125008,0,120,true
anchors,5,3,1412034944,sic,sic,4,4,0,673,500002,0,10,false
anchors,5,4,9724161943,k$,k$,21,21,0,156,126237,0,120,true
anchors,5,5,4037724866,sic,sic,4,4,0,808,500000,0,14,false
anchors,5,6,8370032799,k$,k$,21,21,0,756,500000,0,12,false
anchors,5,7,2767986875,k$,k$,21,21,0,93,500000,0,13,false
anchors,5,8,3141506592,k$,k$,21,21,0,2309,500000,0,13,false
anchors,5,9,3313543896,[ijk]$,[ijk]$,21,21,0,3654,130088,0,120,true
anchors,5,10,8657690939,k$,k$,21,21,0,6528,126318,0,120,true
anchors,5,11,9696640194,k\b,k\b,21,21,0,2319,500002,0,9,false
anchors,5,12,6621545651,k$,k$,21,21,0,5635,133098,0,120,true
anchors,5,13,2492462788,k$,k$,21,21,0,3002,500000,0,13,false
anchors,5,14,3404588599,k$,k$,21,21,0,442,500000,0,12,false
anchors,5,15,2330977742,k$,k$,21,21,0,1907,500000,0,10,false
anchors,5,16,6361187489,k$,k$,21,21,0,615,131455,0,120,true
anchors,5,17,2805026820,k$,k$,21,21,0,3324,130485,0,120,true
anchors,5,18,4323456912,a\w,a\w,2,7,5,499943,500002,9,9,false
anchors,5,19,8361101999,$o,$o,0,0,0,126537,126573,119,120,true
anchors,5,20,9935136846,N/A,N/A,N/A,N/A,N/A,N/A,500000,N/A,12,false
anchors,5,21,5217407358,^\we,^\we,5,5,0,6252,500000,0,9,false
anchors,5,22,5619256299,k$,k$,21,21,0,1802,500000,0,9,false
anchors,5,23,4560422870,k$,k$,21,21,0,2669,500002,0,12,false
anchors,5,24,5236888092,$n,$n,0,0,0,126548,127006,119,120,true
anchors,5,25,1337360711,[ijk]$,[ijk]$,21,21,0,1950,500000,0,10,false
anchors,5,26,7659837985,k$,k$,21,21,0,565,500002,0,10,false
anchors,5,27,2521100877,k$,k$,21,21,0,215,132144,0,120,true
anchors,5,28,8801535107,$v,$v,0,0,0,126571,127029,119,120,true
anchors,5,29,9651599436,k$,k$,21,21,0,532,129002,0,120,true
ranges,5,1,2967301147,d,d,13,16,3,323,176706,0,120,true
ranges,5,1,5600405384,[dbf]\B,[dbf]\B,16,21,5,954,177598,0,120,true
ranges,5,2,1632819610,[dbf]\B,[dbf]\B,16,21,5,583,184722,0,120,true
ranges,5,3,1412034944,^[bfda],^[bfda],17,19,2,2956,176616,0,120,true
ranges,5,4,9724161943,[b-f][ef],[b-f][ef],17,19,2,687,172624,0,120,true
ranges,5,5,4037724866,^[a-f][a-e][^n],^[a-f][a-e][n],20,21,1,15239,500000,0,11,false
ranges,5,6,8370032799,^[adbf],^[adbf],17,19,2,1365,500000,0,12,false
ranges,5,7,2767986875,^[a-f][a-e][^n],^[a-f][a-e][n],20,21,1,7685,183336,0,120,true
ranges,5,8,3141506592,^[a-f][a-e][^n],^[a-f][a-e][n],20,21,1,1000,500000,0,11,false
ranges,5,9,3313543896,^[a-f][a-e][^n],^[a-f][a-e][n],20,21,1,12943,500002,0,13,false
ranges,5,10,8657690939,[dfb][ae],[dfb][ae],20,21,1,837,500000,0,14,false
ranges,5,11,9696640194,[dbf]\B,[dbf]\B,16,21,5,1162,500000,0,12,false
ranges,5,12,6621545651,^[a-f][a-e][^n],^[a-f][a-e][n],20,21,1,3699,180349,0,120,true
ranges,5,13,2492462788,d,d,13,16,3,124,178278,0,120,true
ranges,5,14,3404588599,d,d,13,16,3,108,500000,0,12,false
ranges,5,15,2330977742,[dbf]\B,[dbf]\B,16,21,5,1173,177987,0,120,true
ranges,5,16,6361187489,[a-f][a-e][b-f],[a-f][a-e][b-f],20,21,1,1744,168472,0,120,true
ranges,5,17,2805026820,^[a-f][a-e][^n],^[a-f][a-e][n],20,21,1,12847,500000,0,12,false
ranges,5,18,4323456912,d,d,13,16,3,432,176057,0,120,true
ranges,5,19,8361101999,$h,$h,0,0,0,172964,173533,119,120,true
ranges,5,20,9935136846,[a-f][a-e][a-f][^m],[a-f][a-e][a-f][m],21,21,0,1826,169411,0,120,true
ranges,5,21,5217407358,[b-f][ef],[b-f][ef],17,19,2,1474,165682,0,120,true
ranges,5,22,5619256299,[a-f][a-e][b-f],[a-f][a-e][b-f],20,21,1,7667,500000,0,13,false
ranges,5,23,4560422870,[bdf]\B,[bdf]\B,16,21,5,518,176426,0,120,true
ranges,5,24,5236888092,[bdf]\B,[bdf]\B,16,21,5,777,179295,0,120,true
ranges,5,25,1337360711,[a-f][a-e][a-f][^m],[a-f][a-e][a-f][m],21,21,0,25130,194815,1,120,true
ranges,5,26,7659837985,^[a-f][a-e][^n],^[a-f][a-e][n],20,21,1,10816,187521,0,120,true
ranges,5,27,2521100877,^[a-f][a-e][^n],^[a-f][a-e][n],20,21,1,3363,500000,0,11,false
ranges,5,28,8801535107,$w,$w,0,0,0,177172,177748,119,120,true
ranges,5,29,9651599436,^[a-f]*?$,^[a-f]*?$,21,21,0,16563,500000,0,13,false
backrefs,5,1,2967301147,t,t,4,10,6,1402,500000,0,9,false
backrefs,5,1,5600405384,t,t,4,10,6,475,500000,0,9,false
backrefs,5,2,1632819610,N/A,N/A,N/A,N/A,N/A,N/A,500000,N/A,10,false
